,1,4,7,10,13,16,19
5,9839382.761038162,7819355.329968767,7471577.094042222,7273306.717912048,7374945.886470091,7140024.559724756,7135934.636467039
10,9690456.765501114,8073544.560078739,7665377.984748022,7623067.925637347,7481728.257186936,7468432.140617113,7393429.567755739
15,10100671.396147678,8104217.288404262,7842621.590154911,7771361.795230352,7695221.398088594,7661685.590593964,7629413.60586478
20,9915420.137827164,8240249.905228777,8095507.377510814,7959688.758674351,8011588.980708663,7877093.753196758,7905141.350111413
25,10180811.261476222,8566056.089495338,8273754.716412449,8218098.831521903,7950470.247221925,8023828.690373847,8014559.305498982
30,10501560.090566032,8612649.773163406,8402917.975690529,8346669.487677452,8220256.207056146,8308201.239159371,8198430.111503725
35,10227000.67853273,8924436.768649748,8708505.733859656,8573512.336271513,8525172.513221484,8475884.555541148,8477557.176089106
40,10313321.037265666,9069857.174416488,8828122.226125102,8784036.921616998,8744317.35488571,8727481.306579443,8650702.318482058
45,10443289.730899563,9324738.073961277,9039752.443027336,8873849.666978477,8891459.645982755,8915025.32609186,8911591.978207272
50,10439822.721378602,9222822.538004678,9180182.296530198,9004255.095993238,8982364.98808715,9022664.045441976,9008706.130411223
